x,phi
120.625,2.5910199360617517e-31
120.875,4.013818186551934e-31
121.125,6.2110791579373735e-31
121.375,9.600591892720538e-31
121.625,1.4823463229837582e-30
121.875,2.2862368903582157e-30
122.125,3.5221820590769726e-30
122.375,5.420265316314551e-30
122.625,8.33194912149246e-30
122.875,1.2793493082678705e-29
123.125,1.9622181060225137e-29
123.375,3.0062159473609065e-29
123.625,4.600520488622821e-29
123.875,7.032452486307442e-29
124.125,1.073788699197033e-28
124.375,1.6377295239455109e-28
124.625,2.495031284253917e-28
124.875,3.796814863049543e-28
125.125,5.77127268482471e-28
125.375,8.762573130601325e-28
125.625,1.3289197081865749e-27
125.875,2.0131307953103766e-27
126.125,3.046144797057042e-27
126.375,4.603981099254638e-27
126.625,6.950564761108666e-27
126.875,1.0481160352543142e-26
127.125,1.57870316811742e-26
127.375,2.3751583772791902e-26
127.625,3.5693141993133066e-26
127.875,5.357673339307234e-26
128.125,8.032783470377503e-26
128.375,1.202966132161361e-25
128.625,1.7994400536887404e-25
128.875,2.688543946023618e-25
129.125,4.012285247550275e-25
129.375,5.9808167708739805e-25
129.625,8.90476287987884e-25
129.875,1.3242699253430619e-24
130.125,1.9670803371179707e-24
130.375,2.9184901463365377e-24
130.625,4.324979438225809e-24
130.875,6.401749446508702e-24
131.125,9.464577585909862e-24
131.375,1.39762565473133e-23
131.625,2.061420945471061e-23
131.875,3.0368813481557924e-23
132.125,4.468619845155922e-23
132.375,6.567537599469635e-23
132.625,9.640829984820739e-23
132.875,1.4135400076590454e-22
133.125,2.0700590571952954e-22
133.375,3.0278715138501493e-22
133.625,4.423554166503408e-22
133.875,6.45481178429916e-22
134.125,9.407479228710243e-22
134.375,1.3694290272190781e-21
134.625,1.991046905483037e-21
134.875,2.8913341070893947e-21
135.125,4.193619449296129e-21
135.375,6.075091611410328e-21
135.625,8.789999386887648e-21
135.875,1.270270412495034e-20
136.125,1.8334706792694686e-20
136.375,2.6431470732690097e-20
136.625,3.805724865288176e-20
136.875,5.472947336433308e-20
137.125,7.860896863065746e-20
137.375,1.1276881064074264e-19
137.625,1.615738596295124e-19
137.875,2.3121580722901093e-19
138.125,3.304664627971704e-19
138.375,4.717368859664336e-19
138.625,6.725645601788437e-19
138.875,9.576988092757158e-19
139.125,1.3620211990734283e-18
139.375,1.934629762044416e-18
139.625,2.7445431704616294e-18
139.875,3.888656658325803e-18
