time_s,S2_M,I2_M,S2_tot_M
14820.0,1.6384437277075614e-05,3.801332038408408e-164,1.6463202715100607e-05
14880.0,1.638942758062437e-05,3.801332038408408e-164,1.6466800309529078e-05
14940.0,1.6394329646978753e-05,3.801332038408408e-164,1.647033429226825e-05
15000.0,1.6399145036324906e-05,3.801332038408408e-164,1.6473805788082763e-05
15060.0,1.6403875281262185e-05,3.801332038408408e-164,1.647721590184947e-05
15120.0,1.6408521887290947e-05,3.801332038408408e-164,1.6480565718909104e-05
15180.0,1.6413086333291695e-05,3.801332038408408e-164,1.6483856305411694e-05
15240.0,1.641757007199577e-05,3.801332038408408e-164,1.6487088708655882e-05
15300.0,1.6421974530447707e-05,3.801332038408408e-164,1.649026395742228e-05
15360.0,1.6426301110459437e-05,3.801332038408408e-164,1.6493383062300863e-05
15420.0,1.643055118905642e-05,3.801332038408408e-164,1.6496447016012638e-05
15480.0,1.643472611891593e-05,3.801332038408408e-164,1.6499456793725572e-05
15540.0,1.643882722879757e-05,3.801332038408408e-164,1.6502413353365e-05
15600.0,1.644285582396618e-05,3.801332038408408e-164,1.6505317635918465e-05
15660.0,1.644681318660725e-05,3.801332038408408e-164,1.650817056573523e-05
15720.0,1.6450700576235018e-05,3.801332038408408e-164,1.6510973050820463e-05
15780.0,1.6454519230093337e-05,3.801332038408408e-164,1.651372598312423e-05
15840.0,1.6458270363549447e-05,3.801332038408408e-164,1.651643023882537e-05
15900.0,1.6461955170480793e-05,3.801332038408408e-164,1.6519086678610384e-05
15960.0,1.6465574823655e-05,3.801332038408408e-164,1.652169614794733e-05
16020.0,1.646913047510314e-05,3.801332038408408e-164,1.6524259477354936e-05
16080.0,1.6472623256486386e-05,3.801332038408408e-164,1.6526777482666932e-05
16140.0,1.6476054279456173e-05,3.801332038408408e-164,1.652925096529168e-05
16200.0,1.647942463600803e-05,3.801332038408408e-164,1.653168071246727e-05
16260.0,1.6482735398829105e-05,3.801332038408408e-164,1.6534067497512053e-05
16320.0,1.648598762163959e-05,3.801332038408408e-164,1.653641208007078e-05
16380.0,1.6489182339528084e-05,3.801332038408408e-164,1.653871520635636e-05
16440.0,1.6492320569281024e-05,3.801332038408408e-164,1.6540977609387388e-05
16500.0,1.649540330970631e-05,3.801332038408408e-164,1.65432000092214e-05
16560.0,1.6498431541951188e-05,3.801332038408408e-164,1.654538311318409e-05
16620.0,1.6501406229814527e-05,3.801332038408408e-164,1.6547527616094385e-05
16680.0,1.650432832005356e-05,3.801332038408408e-164,1.6549634200485646e-05
16740.0,1.6507198742685225e-05,3.801332038408408e-164,1.6551703536822832e-05
16800.0,1.6510018411282145e-05,3.801332038408408e-164,1.6553736283715944e-05
16860.0,1.6512788223263403e-05,3.801332038408408e-164,1.655573308812961e-05
16920.0,1.651550906018016e-05,3.801332038408408e-164,1.6557694585589007e-05
16980.0,1.6518181787996227e-05,3.801332038408408e-164,1.655962140038213e-05
17040.0,1.6520807257363682e-05,3.801332038408408e-164,1.656151414575848e-05
17100.0,1.6523386303893595e-05,3.801332038408408e-164,1.6563373424124238e-05
17160.0,1.6525919748421997e-05,3.801332038408408e-164,1.6565199827234026e-05
17220.0,1.6528408397271118e-05,3.801332038408408e-164,1.6566993936379202e-05
17280.0,1.653085304250601e-05,3.801332038408408e-164,1.656875632257289e-05
17340.0,1.653325446218665e-05,3.801332038408408e-164,1.6570487546731718e-05
17400.0,1.653561342061557e-05,3.801332038408408e-164,1.657218815985434e-05
17460.0,1.6537930668581108e-05,3.801332038408408e-164,1.6573858703196794e-05
17520.0,1.654020694359637e-05,3.801332038408408e-164,1.657549970844479e-05
17580.0,1.6542442970133957e-05,3.801332038408408e-164,1.657711169788289e-05
17640.0,1.654463945985654e-05,3.801332038408408e-164,1.6578695184560796e-05
17700.0,1.6546797111843356e-05,3.801332038408408e-164,1.6580250672456578e-05
17760.0,1.6548916612812725e-05,3.801332038408408e-164,1.6581778656637106e-05
17820.0,1.6550998637340592e-05,3.801332038408408e-164,1.6583279623415623e-05
17880.0,1.6553043848075235e-05,3.801332038408408e-164,1.6584754050506503e-05
17940.0,1.6555052895948167e-05,3.801332038408408e-164,1.6586202407177312e-05
18000.0,1.6557026420381302e-05,3.801332038408408e-164,1.6587625154398143e-05
18060.0,1.655896504949047e-05,3.801332038408408e-164,1.658902274498835e-05
18120.0,1.6560869400285336e-05,3.801332038408408e-164,1.659039562376066e-05
18180.0,1.656274007886575e-05,3.801332038408408e-164,1.6591744227662727e-05
18240.0,1.6564577680614684e-05,3.801332038408408e-164,1.659306898591623e-05
18300.0,1.6566382790387702e-05,3.801332038408408e-164,1.6594370320153466e-05
18360.0,1.6568155982699116e-05,3.801332038408408e-164,1.6595648644551536e-05
18420.0,1.6569897821904828e-05,3.801332038408408e-164,1.659690436596418e-05
18480.0,1.657160886238195e-05,3.801332038408408e-164,1.6598137884051256e-05
18540.0,1.6573289648705254e-05,3.801332038408408e-164,1.659934959140595e-05
18600.0,1.6574940715820485e-05,3.801332038408408e-164,1.6600539873679714e-05
18660.0,1.657656258921462e-05,3.801332038408408e-164,1.660170910970502e-05
18720.0,1.6578155785083123e-05,3.801332038408408e-164,1.6602857671615933e-05
18780.0,1.6579720810494227e-05,3.801332038408408e-164,1.6603985924966536e-05
18840.0,1.658125816355032e-05,3.801332038408408e-164,1.6605094228847284e-05
18900.0,1.6582768333546483e-05,3.801332038408408e-164,1.6606182935999292e-05
18960.0,1.658425180112621e-05,3.801332038408408e-164,1.6607252392926615e-05
19020.0,1.658570903843439e-05,3.801332038408408e-164,1.6608302940006496e-05
19080.0,1.658714050926757e-05,3.801332038408408e-164,1.6609334911597736e-05
19140.0,1.658854666922158e-05,3.801332038408408e-164,1.6610348636147084e-05
19200.0,1.658992796583652e-05,3.801332038408408e-164,1.6611344436293795e-05
19260.0,1.6591284838739215e-05,3.801332038408408e-164,1.661232262897229e-05
19320.0,1.6592617719783117e-05,3.801332038408408e-164,1.6613283525513056e-05
19380.0,1.659392703318577e-05,3.801332038408408e-164,1.66142274317417e-05
19440.0,1.659521319566382e-05,3.801332038408408e-164,1.6615154648076327e-05
19500.0,1.6596476616565637e-05,3.801332038408408e-164,1.661606546962311e-05
19560.0,1.6597717698001605e-05,3.801332038408408e-164,1.6616960186270244e-05
19620.0,1.6598936834972106e-05,3.801332038408408e-164,1.66178390827802e-05
19680.0,1.6600134415493225e-05,3.801332038408408e-164,1.661870243888035e-05
19740.0,1.660131082072026e-05,3.801332038408408e-164,1.661955052935201e-05
19800.0,1.6602466425069017e-05,3.801332038408408e-164,1.662038362411789e-05
19860.0,1.6603601596334984e-05,3.801332038408408e-164,1.662120198832798e-05
19920.0,1.6604716695810394e-05,3.801332038408408e-164,1.6622005882443988e-05
19980.0,1.6605812078399207e-05,3.801332038408408e-164,1.6622795562322188e-05
20040.0,1.6606888092730063e-05,3.801332038408408e-164,1.6623571279294876e-05
20100.0,1.6607945081267252e-05,3.801332038408408e-164,1.6624333280250368e-05
20160.0,1.6608983380419695e-05,3.801332038408408e-164,1.6625081807711556e-05
20220.0,1.661000332064803e-05,3.801332038408408e-164,1.6625817099913122e-05
20280.0,1.661100522656977e-05,3.801332038408408e-164,1.6626539390877327e-05
20340.0,1.6611989417062644e-05,3.801332038408408e-164,1.6627248910488536e-05
20400.0,1.6612956205366057e-05,3.801332038408408e-164,1.662794588456634e-05
20460.0,1.66139058991808e-05,3.801332038408408e-164,1.662863053493746e-05
20520.0,1.661483880076699e-05,3.801332038408408e-164,1.6629303079506346e-05
20580.0,1.6615755207040265e-05,3.801332038408408e-164,1.6629963732324504e-05
20640.0,1.6616655409666272e-05,3.801332038408408e-164,1.663061270365865e-05
20700.0,1.6617539695153507e-05,3.801332038408408e-164,1.663125020005761e-05
20760.0,1.6618408344944503e-05,3.801332038408408e-164,1.663187642441808e-05
20820.0,1.6619261635505407e-05,3.801332038408408e-164,1.6632491576049197e-05
20880.0,1.6620099838413954e-05,3.801332038408408e-164,1.663309585073595e-05
20940.0,1.6620923220445927e-05,3.801332038408408e-164,1.6633689440801522e-05
21000.0,1.6621732043660044e-05,3.801332038408408e-164,1.6634272535168485e-05
21060.0,1.6622526565481378e-05,3.801332038408408e-164,1.6634845319418942e-05
21120.0,1.6623307038783277e-05,3.801332038408408e-164,1.6635407975853576e-05
21180.0,1.6624073711967854e-05,3.801332038408408e-164,1.663596068354968e-05
