x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
5245.5876971522575,20.0,0.10590671275730604,0.0,0.0
5248.5893768734,20.0,0.10552032135743449,0.0,0.0
5251.591056594541,20.0,0.10513422184720544,0.0,0.0
5254.592736315684,20.0,0.10474844036352125,0.0,0.0
5257.594416036825,20.0,0.1043630024792296,0.0,0.0
5260.596095757968,20.0,0.10397793320829513,0.0,0.0
5263.597775479109,20.0,0.10359325701113516,0.0,0.0
5266.599455200252,20.0,0.10320899780010287,0.0,0.0
5269.601134921393,20.0,0.10282517894511665,0.0,0.0
5272.602814642536,20.0,0.10244182327941885,0.0,0.0
5275.604494363677,20.0,0.10205895310546317,0.0,0.0
5278.60617408482,20.0,0.10167659020091448,0.0,0.0
5281.607853805961,20.0,0.10129475582475991,0.0,0.0
5284.609533527104,20.0,0.10091347072351589,0.0,0.0
5287.611213248245,20.0,0.1005327551375305,0.0,0.0
5290.612892969388,20.0,0.1001526288073654,0.0,0.0
