time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
10380.0,1.3779495523002635e-08,3.210588383398739e-08,1.4347015527725605e-08,6.406912085276576e-08,1.5243234960623065e-06
10440.0,1.375314265860915e-08,3.20489205171669e-08,1.4372206299345603e-08,6.409514895632743e-08,1.5243760965107556e-06
10500.0,1.372741349643268e-08,3.1993163375252e-08,1.4396952831867015e-08,6.412056029098475e-08,1.5244275850949574e-06
10560.0,1.3702288858631616e-08,3.193858301772676e-08,1.4421262959010284e-08,6.414537385978001e-08,1.5244779888292397e-06
10620.0,1.3677618647431919e-08,3.1885150920539246e-08,1.4445144375924158e-08,6.416960785899388e-08,1.524527333934836e-06
10680.0,1.3653531105604442e-08,3.183283843757579e-08,1.4468605566977056e-08,6.419326949143735e-08,1.5245756468299815e-06
10740.0,1.3630007942828487e-08,3.1781618955798916e-08,1.449165321159592e-08,6.42163767240267e-08,1.5246229519733456e-06
10800.0,1.3607031701839174e-08,3.173146664576256e-08,1.4514294474591283e-08,6.423894670535217e-08,1.524669273107157e-06
10860.0,1.3584585702321187e-08,3.16823563429169e-08,1.4536536476181633e-08,6.426099582079223e-08,1.5247146333665648e-06
10920.0,1.356265399298527e-08,3.1634263535616326e-08,1.4558386233826321e-08,6.42825397395898e-08,1.5247590552901603e-06
10980.0,1.3541221307996492e-08,3.158716436179597e-08,1.45798506508117e-08,6.430359345765343e-08,1.524802560822544e-06
11040.0,1.3520273026808325e-08,3.154103560166046e-08,1.460093651353609e-08,6.432417133701313e-08,1.5248451713206459e-06
11100.0,1.3499795136946016e-08,3.149585466591242e-08,1.462165049141068e-08,6.434428714237885e-08,1.524886907564216e-06
11160.0,1.3479774199431624e-08,3.1451599580885816e-08,1.4641999137802775e-08,6.436395407510421e-08,1.5249277897692176e-06
11220.0,1.3460197316610683e-08,3.140824897188117e-08,1.4661988891459616e-08,6.438318480479077e-08,1.5249678376029129e-06
11280.0,1.3441052102179845e-08,3.136578204563446e-08,1.4681626078167812e-08,6.44019914987307e-08,1.525007070199776e-06
11340.0,1.3422326653240449e-08,3.132417857252525e-08,1.470091691252973e-08,6.442038584935878e-08,1.5250455061776712e-06
11400.0,1.3404009524222448e-08,3.1283418868897955e-08,1.4719867499793151e-08,6.443837909986763e-08,1.525083163653942e-06
11460.0,1.3386089702537923e-08,3.124348377971682e-08,1.4738483837699264e-08,6.445598206812354e-08,1.5251200602612156e-06
11520.0,1.3368556585836143e-08,3.1204354661679526e-08,1.4756771818328887e-08,6.447320516900938e-08,1.5251562131627897e-06
11580.0,1.335139996074257e-08,3.11660133668533e-08,1.4774737229935715e-08,6.449005843530956e-08,1.5251916390675586e-06
11640.0,1.333460998297387e-08,3.112844222686265e-08,1.4792385758759291e-08,6.450655153724345e-08,1.5252263542444375e-06
11700.0,1.3318177158729371e-08,3.1091624037635895e-08,1.4809722990813507e-08,6.452269380074493e-08,1.525260374536284e-06
11760.0,1.3302092327267007e-08,3.105554204470471e-08,1.4826754413648995e-08,6.453849422457829e-08,1.5252937153733181e-06
11820.0,1.328634664457892e-08,3.1020179929044255e-08,1.4843485418087418e-08,6.455396149637405e-08,1.5253263917860548e-06
11880.0,1.3270931568088136e-08,3.0985521793437295e-08,1.4859921299927316e-08,6.456910400766166e-08,1.5253584184177585e-06
11940.0,1.3255838842293769e-08,3.0951552149343616e-08,1.487606726162127e-08,6.458392986797046e-08,1.5253898095364427e-06
12000.0,1.3241060485297586e-08,3.091825590425594e-08,1.4891928413924188e-08,6.459844691806496e-08,1.5254205790464266e-06
